ticker,company_name
CZNC,Citizens & Northern Corp - Common Stock
DAAQ,Digital Asset Acquisition Corp. - Class A Ordinary shares
DAAQU,Digital Asset Acquisition Corp. - Units
DAAQW,Digital Asset Acquisition Corp. - Warrant
DABS,DoubleLine ETF Trust DoubleLine Asset-Backed Securities ETF
DAC,Danaos Corporation Common Stock
DADS,Digital Asset Debt Strategy ETF
DAIO,Data I/O Corporation - Common Stock
DAK,Dakota Active Equity ETF
DALI,First Trust Dorsey Wright DALI Equity ETF
DALN,DallasNews Corporation - Series A Common Stock
DAN,Dana Incorporated Common Stock
DAPP,VanEck Digital Transformation ETF
DAPR,FT Vest U.S. Equity Deep Buffer ETF - April
DAR,Darling Ingredients Inc. Common Stock
DARP,Grizzle Growth ETF
DASH,DoorDash Inc
DAT,ProShares Big Data Refiners ETF
DAUG,FT Vest U.S. Equity Deep Buffer ETF - August
DAVA,Endava plc American Depositary Shares (each representing one Class A Ordinary Share)
DAVE,Dave Inc.  - Class A Common Stock
DAVEW,Dave Inc.  - Warrants
DAX,Global X DAX Germany ETF
DB,Deutsche Bank AG Common Stock
DBA,Invesco DB Agriculture Fund
DBAW,Xtrackers MSCI All World ex US Hedged Equity ETF
DBB,Invesco DB Base Metals Fund
DBC,Invesco DB Commodity Index Tracking Fund
DBD,Diebold Nixdorf Incorporated Common stock
DBE,Invesco DB Energy Fund
DBEF,Xtrackers MSCI EAFE Hedged Equity ETF
DBEM,Xtrackers MSCI Emerging Markets Hedged Equity ETF
DBEU,Xtrackers MSCI Europe Hedged Equity ETF
DBEZ,Xtrackers MSCI Eurozone Hedged Equity ETF
DBI,Designer Brands Inc. Class A Common Stock
DBJP,Xtrackers MSCI Japan Hedged Equity ETF
DBL,DoubleLine Opportunistic Credit Fund Common Shares of Beneficial Interest
DBMF,iMGP DBi Managed Futures Strategy ETF
DBND,DoubleLine Opportunistic Core Bond ETF
DBO,Invesco DB Oil Fund
DBP,Invesco DB Precious Metals Fund
DBVT,DBV Technologies S.A. - American Depositary Shares
DC,Dakota Gold Corp. Common Stock
DCBO,Docebo Inc. - Common Shares
DCGO,DocGo Inc. - Common Stock
DCMT,DoubleLine ETF Trust DoubleLine Commodity Strategy ETF
DCO,Ducommun Incorporated Common Stock
DCOR,Dimensional ETF Trust Dimensional US Core Equity 1 ETF
DCRE,DoubleLine ETF Trust DoubleLine Commercial Real Estate ETF
DDC,DDC Enterprise Limited Class A Ordinary Shares
DDD,3D Systems Corporation Common Stock
DDEC,FT Vest U.S. Equity Deep Buffer ETF - December
DD,DuPont de Nemours Inc.,Chemicals
DOW,Dow Inc.,Chemicals
LYB,LyondellBasell Industries NV,Chemicals
EMN,Eastman Chemical Company,Chemicals
DDFL,Innovator ETFs Trust Innovator Equity Dual Directional 15 Buffer ETF - July
DDIV,First Trust Dorsey Wright Momentum & Dividend ETF
DDL,Dingdong (Cayman) Limited American Depositary Shares (each two representing three Ordinary Shares)
DDLS,WisdomTree Dynamic International SmallCap Equity Fund
DDM,ProShares Ultra Dow30
DDT,Dillard's Capital Trust I
DDTL,Innovator ETFs Trust Innovator Equity Dual Directional 10 Buffer ETF - July
DDWM,WisdomTree Dynamic International Equity Fund
DE,Deere & Company Common Stock
DEC,Diversified Energy Company plc Ordinary Shares
DECK,Deckers Outdoor Corporation Common Stock
DECM,First Trust Exchange-Traded Fund VIII FT Vest U.S. Equity Max Buffer ETF - December
DECO,SPDR Galaxy Digital Asset Ecosystem ETF
DECP,PGIM S&P 500 Buffer 12 ETF - December
DECT,AIM ETF Products Trust AllianzIM U.S. Large Cap Buffer10 Dec ETF
DECU,AIM ETF Products Trust AllianzIM U.S. Equity Buffer15 Uncapped Dec ETF
DECW,AIM ETF Products Trust AllianzIM U.S. Large Cap Buffer20 Dec ETF
DECZ,TrueShares Structured Outcome (December) ETF
DEED,First Trust Securitized Plus ETF
DEEF,Xtrackers FTSE Developed ex US Multifactor ETF
DEEP,Acquirers Small and Micro Deep Value ETF
DEFI,Tidal Commodities Trust I Hashdex Bitcoin ETF
DEFR,ETF Series Solutions Aptus Deferred Income ETF
DEHP,Dimensional ETF Trust Dimensional Emerging Markets High Profitability ETF
DELL,Dell Technologies Inc. Class C Common Stock
DEM,WisdomTree Emerging Markets High Dividend Fund
DEMZ,Democratic Large Cap Core ETF
DENN,Denny's Corporation - Common Stock
DEO,Diageo plc Common Stock
DERM,Journey Medical Corporation - Common Stock
DES,WisdomTree U.S. SmallCap Dividend Fund
DESK,VanEck ETF Trust VanEck Office and Commercial REIT ETF
DEUS,Xtrackers Russell US Multifactor ETF
DEVS,DevvStream Corp. - Common Stock
DEW,WisdomTree Global High Dividend Fund
DEXC,Dimensional ETF Trust Dimensional Emerging Markets ex China Core Equity ETF
DFAC,Dimensional ETF Trust Dimensional U.S. Core Equity 2 ETF
DFAE,Dimensional Emerging Core Equity Market ETF
DFAI,Dimensional International Core Equity Market ETF
DFAR,Dimensional ETF Trust Dimensional US Real Estate ETF
DFAS,Dimensional U.S. Small Cap ETF
DFAT,Dimensional U.S. Targeted Value ETF
DFAU,Dimensional US Core Equity Market ETF
DFAW,Dimensional ETF Trust Dimensional World Equity ETF
DFAX,Dimensional World ex U.S. Core Equity 2 ETF
DFCA,Dimensional ETF Trust Dimensional California Municipal Bond ETF
DFCF,Dimensional ETF Trust Dimensional Core Fixed Income ETF
DFDV,DeFi Development Corp. - Common Stock
DFE,WisdomTree Europe SmallCap Dividend Fund
DFEB,FT Vest U.S. Equity Deep Buffer ETF - February
DFEM,Dimensional ETF Trust Dimensional Emerging Markets Core Equity 2 ETF
DFEN,Direxion Daily Aerospace & Defense Bull 3X Shares
DFEV,Dimensional ETF Trust Dimensional Emerging Markets Value ETF
DFGP,Dimensional Global Core Plus Fixed Income ETF
DFGR,Dimensional ETF Trust Dimensional Global Real Estate ETF
DFGX,Dimensional Global ex US Core Fixed Income ETF
DFIC,Dimensional ETF Trust Dimensional International Core Equity 2 ETF
DFII,First Trust Exchange-Traded Fund FT Vest Bitcoin Strategy & Target Income ETF
DFIP,Dimensional ETF Trust Dimensional Inflation-Protected Securities ETF
DFIS,Dimensional ETF Trust Dimensional International Small Cap ETF
DFIV,Dimensional International Value ETF
DFJ,WisdomTree Japan SmallCap Fund
DFLI,Dragonfly Energy Holdings Corp - Common Stock
DFLIW,Dragonfly Energy Holdings Corp - Warrant
DFLV,Dimensional ETF Trust Dimensional US Large Cap Value ETF
DFND,Siren DIVCON Dividend Defender ETF
DFNL,Davis Fundamental ETF Trust Davis Select Financial ETF
DFNM,Dimensional ETF Trust Dimensional National Municipal Bond ETF
DFP,Flaherty & Crumrine Dynamic Preferred and Income Fund Inc. Common Stock
DFSB,Dimensional ETF Trust Dimensional Global Sustainability Fixed Income ETF
DFSCW,DEFSEC Technologies Inc. - warrant
DFSD,Dimensional ETF Trust Dimensional Short-Duration Fixed Income ETF
DFSE,Dimensional ETF Trust Dimensional Emerging Markets Sustainability Core 1 ETF
DFSI,Dimensional ETF Trust Dimensional International Sustainability Core 1 ETF
DFSU,Dimensional ETF Trust Dimensional US Sustainability Core 1 ETF
DFSV,Dimensional ETF Trust Dimensional US Small Cap Value ETF
DFUS,Dimensional U.S. Equity Market ETF
DFUV,Dimensional ETF Trust Dimensional US Marketwide Value ETF
DFVE,DoubleLine ETF Trust DoubleLine Fortune 500 Equal Weight ETF
DFVX,Dimensional ETF Trust Dimensional US Large Cap Vector ETF
DG,Dollar General Corporation Common Stock
DGCB,Dimensional Global Credit ETF
DGII,Digi International Inc. - Common Stock
DGIN,VanEck ETF Trust VanEck Digital India ETF
DGLO,First Trust RBA Deglobalization ETF
DGNX,Diginex Limited - Ordinary Shares
DGRE,WisdomTree Emerging Markets Quality Dividend Growth Fund
DGRO,iShares Core Dividend Growth ETF
DGRS,WisdomTree U.S. SmallCap Quality Dividend Growth Fund
DGRW,WisdomTree U.S. Quality Dividend Growth Fund
DGS,WisdomTree Emerging Market SmallCap Fund
DGT,SPDR Global Dow ETF (based on The Global Dow)
DGX,Quest Diagnostics Incorporated Common Stock
DGXX,Digi Power X Inc. - Common Subordinate Voting Shares
DH,Definitive Healthcare Corp. - Class A Common Stock
DHC,Diversified Healthcare Trust  - Common Shares of Beneficial Interest
DHCNI,Diversified Healthcare Trust  - 5.625% Senior Notes due 2042
DHCNL,Diversified Healthcare Trust  - 6.25% Senior Notes Due 2046
DHDG,First Trust Exchange-Traded Fund VIII FT Vest U.S. Equity Quarterly 2.5 to 15 Buffer ETF
DHF,BNY Mellon High Yield Strategies Fund Common Stock
DHR,Danaher Corporation Common Stock
DHS,WisdomTree U.S. High Dividend Fund
DHSB,Strategy Shares Day Hagan Smart Buffer ETF
DHY,Credit Suisse High Yield Bond Fund Common Stock
DIA,SPDR Dow Jones Industrial Average ETF
DIAL,Columbia Diversified Fixed Income Allocation ETF
DIAX,Nuveen Dow 30SM Dynamic Overwrite Fund Common Shares of Beneficial Interest
DIEM,Franklin Emerging Market Core Dividend Tilt Index ETF
DIG,ProShares Ultra Energy
DIHP,Dimensional ETF Trust Dimensional International High Profitability ETF
DIM,WisdomTree International MidCap Dividend Fund
DINO,HF Sinclair Corporation Common Stock
DINT,Davis Fundamental ETF Trust Davis Select International ETF
DIOD,Diodes Incorporated - Common Stock
DIPS,Tidal Trust II YieldMax Short NVDA Option Income Strategy ETF
DIS,Walt Disney Company (The) Common Stock
DISO,Tidal ETF Trust II YieldMax DIS Option Income Strategy ETF
DISV,Dimensional ETF Trust Dimensional International Small Cap Value ETF
DIT,AMCON Distributing Company Common Stock
DIV,Global X Super Dividend ETF
DIVB,iShares Core Dividend ETF
DIVD,Altrius Global Dividend ETF
DIVG,Invesco Exchange-Traded Fund Trust II Invesco S&P 500 High Dividend Growers ETF
DIVI,Franklin International Core Dividend Tilt Index ETF
DIVL,Madison ETFs Trust Madison Dividend Value ETF
DIVN,Horizon Funds Horizon Dividend Income ETF
DIVO,Amplify CWP Enhanced Dividend Income ETF
DIVP,The Advisors Inner Circle Fund II Cullen Enhanced Equity Income ETF
DIVS,SmartETFs Dividend Builder ETF
DIVY,Sound Equity Dividend Income ETF
DIVZ,Listed Funds Trust Opal Dividend Income ETF
DJAN,FT Vest U.S. Equity Deep Buffer ETF - January
DJCO,Daily Journal Corp. (S.C.) - Common Stock
DJD,Invesco Dow Jones Industrial Average Dividend ETF
DJIA,Global X Funds Global X Dow 30 Covered Call ETF
DJP,iPath Bloomberg Commodity Index Total Return ETN
DJT,Trump Media & Technology Group Corp. - Common Stock
DJTU,ETF Opportunities Trust T-REX 2X Long DJT Daily Target ETF
DJTWW,Trump Media & Technology Group Corp. - Warrants
DJUL,FT Vest U.S. Equity Deep Buffer ETF - July
DJUN,FT Vest U.S. Equity Deep Buffer ETF - June
DKI,DarkIris Inc. - Class A Ordinary Shares
DKNG,DraftKings Inc. - Class A Common Stock
DKNX,Defiance Daily Target 2X Long DKNG ETF
DKS,Dick's Sporting Goods Inc Common Stock
DKUP,ETF Opportunities Trust T-REX 2X Long DKNG Daily Target ETF
DLB,Dolby Laboratories Common Stock
DLHC,DLH Holdings Corp. - Common Stock
DLLL,GraniteShares 2x Long DELL Daily ETF
DLN,WisdomTree U.S. LargeCap Dividend Fund
DLNG,Dynagas LNG Partners LP Common Units
DLNG$A,Dynagas LNG Partners LP 9.00% Series A Cumulative Redeemable Preferred Units
DLO,DLocal Limited - Class A Common Shares
DLS,WisdomTree International SmallCap Fund
DLTH,Duluth Holdings Inc. - Class B Common Stock
DLX,Deluxe Corporation Common Stock
DLXY,Delixy Holdings Limited - Ordinary Shares
DLY,DoubleLine Yield Opportunities Fund Common Shares of Beneficial Interest
DMA,Destra Multi-Alternative Fund Common Stock
DMAA,Drugs Made In America Acquisition Corp. - Ordinary Shares
DMAAR,Drugs Made In America Acquisition Corp. - Rights
DMAAU,Drugs Made In America Acquisition Corp. - Units
DMAC,DiaMedica Therapeutics Inc. - Common Stock
DMAR,FT Vest U.S. Equity Deep Buffer ETF - March
DMAT,Global X Disruptive Materials ETF
DMAX,iShares Trust iShares Large Cap Max Buffer Dec ETF
DMAY,FT Vest U.S. Equity Deep Buffer ETF - May
DMBS,DoubleLine ETF Trust DoubleLine Mortgage ETF
DMCY,Democracy International Fund
DMO,Western Asset Mortgage Opportunity Fund Inc. Common Stock
DMRC,Digimarc Corporation - Common Stock
DMX,DoubleLine ETF Trust DoubleLine Multi-Sector Income ETF
DMXF,iShares ESG Advanced MSCI EAFE ETF
DNKN,Dunkin' Brands Group Inc
DNL,WisdomTree Global ex-US Quality Dividend Growth Fund
DNLI,Denali Therapeutics Inc. - Common Stock
DNN,Denison Mines Corp. Common Stock
DNOV,FT Vest U.S. Equity Deep Buffer ETF - November
DNOW,DNOW Inc. Common Stock
DOCT,FT Vest U.S. Equity Deep Buffer ETF - October
DOG,ProShares Short Dow30
DOGG,FT Vest DJIA Dogs 10 Target Income ETF
DOGZ,Dogness (International) Corporation - Class A Common Stock
DOL,WisdomTree International LargeCap Dividend Fund
DOLE,Dole plc Ordinary Shares
DOMH,Dominari Holdings Inc. - Common Stock
DON,WisdomTree U.S. MidCap Dividend Fund
DOOO,BRP Inc. - Common Subordinate Voting Shares
DOUG,Douglas Elliman Inc. Common Stock
DOV,Dover Corporation Common Stock
DOW,Dow Inc. Common Stock
DOX,Amdocs Limited - Ordinary Shares
DOYU,DouYu International Holdings Limited - American Depositary Shares
DPG,Duff & Phelps Utility and Infrastructure Fund Inc.
DPRO,Draganfly Inc. - Common Shares
DPST,Direxion Daily Regional Banks Bull 3X Shares
DPZ,Domino's Pizza Inc
DRAG,Roundhill ETF Trust Roundhill China Dragons ETF
DRAI,EA Series Trust Draco Evolution AI ETF
DRAY,Tidal Trust II YieldMax DKNG Option Income Strategy ETF
DRD,DRDGOLD Limited American Depositary Shares
DRDB,Roman DBDR Acquisition Corp. II - Ordinary shares
DRDBU,Roman DBDR Acquisition Corp. II - Unit
DRDBW,Roman DBDR Acquisition Corp. II - Warrants
DRGN,Themes ETF Trust Themes China Generative Artificial Intelligence ETF
DRH,Diamondrock Hospitality Company Common Stock
DRH$A,Diamondrock Hospitality Company 8.250% Series A Cumulative Redeemable Preferred Stock
DRI,Darden Restaurants Inc
DRIO,DarioHealth Corp. - Common Stock
DRIP,Direxion Daily S&P Oil & Gas Exp. & Prod. Bear 2X Shares
DRIV,Global X Autonomous & Electric Vehicles ETF
DRLL,EA Series Trust Strive U.S. Energy ETF
DRN,Direxion Daily Real Estate Bull 3X Shares
DRRX,DURECT Corporation - Common Stock
DRSK,Aptus Defined Risk ETF
DRTS,Alpha Tau Medical Ltd. - Ordinary Shares
DRTSW,Alpha Tau Medical Ltd. - Warrant
DRUG,Bright Minds Biosciences Inc. - common stock
DRUP,GraniteShares Nasdaq Select Disruptors ETF
DRV,Direxion Daily Real Estate Bear 3X Shares
DRVN,Driven Brands Holdings Inc. - Common Stock
DSCF,Discipline Fund ETF
DSEP,FT Vest U.S. Equity Deep Buffer ETF - September
DSGX,The Descartes Systems Group Inc. - Common Stock
DSI,iShares ESG MSCI KLD 400 ETF
DSL,DoubleLine Income Solutions Fund Common Shares of Beneficial Interests
DSMC,ETF Series Solutions Distillate Small/Mid Cash Flow ETF
DSP,Viant Technology Inc. - common stock
DSPY,Tema ETF Trust Tema S&P 500  Historical Weight ETF Strategy
DSTL,Distillate U.S. Fundamental Stability & Value ETF
DSTX,Distillate International Fundamental Stability & Value ETF
DSX,Diana Shipping inc. common stock
DSX$B,Diana Shipping Inc. Perpetual Preferred Shares Series B (Marshall Islands)
DSX.W,Diana Shipping inc. Warrants
DSY,Big Tree Cloud Holdings Limited - Ordinary Shares
DSYWW,Big Tree Cloud Holdings Limited - Warrants
DTAN,EA Series Trust Sparkline International Intangible Value ETF
DTB,DTE Energy Company 2020 Series G 4.375% Junior Subordinated Debentures due 2080
DTCK,Davis Commodities Limited - Class A Ordinary Shares
DTCR,Global X Data Center & Digital Infrastructure ETF
DTD,WisdomTree U.S. Total Dividend Fund
DTE,DTE Energy Company Common Stock
DTEC,ALPS ETF Trust ALPS Disruptive Technologies ETF
DTF,DTF Tax-Free Income 2028 Term Fund Inc. Common Stock
DTG,DTE Energy Company 2021 Series E 4.375% Junior Subordinated Debentures
DTH,WisdomTree International High Dividend Fund
DTI,Drilling Tools International Corporation  - Common Stock
DTRE,First Trust Alerian Disruptive Technology Real Estate ETF
DTSQ,DT Cloud Star Acquisition Corporation - Ordinary Shares
DTSQR,DT Cloud Star Acquisition Corporation - Right
DTSQU,DT Cloud Star Acquisition Corporation - Units
DTSS,Datasea Inc. - Common Stock
DTST,Data Storage Corporation - Common Stock
DTSTW,Data Storage Corporation - Warrant
DTW,DTE Energy Company 2017 Series E 5.25% Junior Subordinated Debentures due 2077
DUBS,ETF Series Solutions Aptus Large Cap Enhanced Yield ETF
DUG,ProShares UltraShort Energy
DUHP,Dimensional ETF Trust Dimensional US High Profitability ETF
DUK,Duke Energy Corporation (Holding Company) Common Stock
DUKB,Duke Energy Corporation 5.625% Junior Subordinated Debentures due 2078
DUKH,Ocean Park High Income ETF
DUKQ,Northern Lights Fund Trust Ocean Park Domestic ETF
DUKX,Ocean Park International ETF
DUKZ,Northern Lights Fund Trust Ocean Park Diversified Income ETF
DUO,Fangdd Network Group Ltd. - Class A Ordinary Shares
DURA,VanEck Durable High Dividend ETF
DUSA,Davis Fundamental ETF Trust Davis Select U.S. Equity ETF
DUSB,Dimensional ETF Trust Dimensional Ultrashort Fixed Income ETF
DUSL,Direxion Daily Industrials Bull 3X Shares
DUST,Direxion Daily Gold Miners Index Bear 2X Shares
DVA,DaVita Inc. Common Stock
DVAL,BrandywineGLOBAL-Dynamic US Large Cap Value ETF
DVAX,Dynavax Technologies Corporation - Common Stock
DVDN,ETF Opportunities Trust Kingsbarn Dividend Opportunity ETF
DVIN,WEBs Defined Volatility XLI ETF
DVLT,Datavault AI Inc. - Common Stock
DVLU,First Trust Dorsey Wright Momentum & Value ETF
DVN,Devon Energy Corporation Common Stock
DVND,Touchstone ETF Trust Touchstone Dividend Select ETF
DVOL,First Trust Dorsey Wright Momentum & Low Volatility ETF
DVQQ,WEBs Defined Volatility QQQ ETF
DVRE,WEBs Defined Volatility XLRE ETF
DVS,Dolly Varden Silver Corporation Common Shares
DVSP,WEBs Defined Volatility SPY ETF
DVUT,WEBS Defined Volatility XLU ETF
DVXB,WEBs Defined Volatility XLB ETF
DVXC,WEBs Defined Volatility XLC ETF
DVXE,WEBs Defined Volatility XLE ETF
DVXF,WEBs Defined Volatility XLF ETF
DVXK,WEBs Defined Volatility XLK ETF
DVXP,WEBs Defined Volatility XLP ETF
DVXV,WEBs Defined Volatility XLV ETF
DVXY,WEBs Defined Volatility XLY ETF
DVY,iShares Select Dividend ETF
DVYA,iShares Asia / Pacific Dividend 30 Index Fund Exchange Traded Fund
DVYE,iShares Emerging Markets Dividend Index Fund Exchange Traded Fund
DWAS,Invesco Dorsey Wright SmallCap Momentum ETF
DWAW,AdvisorShares Dorsey Wright FSM All Cap World ETF
DWLD,Davis Fundamental ETF Trust Davis Select Worldwide ETF
DWM,WisdomTree International Equity Fund
DWMF,WisdomTree International Multifactor Fund
DWSH,AdvisorShares Dorsey Wright Short ETF
DWSN,Dawson Geophysical Company - Common Stock
DWUS,AdvisorShares Dorsey Wright FSM US Core ETF
DWX,SPDR S&P International Dividend ETF
DXC,DXC Technology Company Common Stock
DXD,ProShares UltraShort Dow30
DXIV,Dimensional ETF Trust Dimensional International Vector Equity ETF
DXJ,WisdomTree Japan Hedged Equity Fund
DXR,Daxor Corporation - Closed End Fund
DXST,Decent Holding Inc. - Class A Ordinary Shares
DXUV,Dimensional ETF Trust Dimensional US Vector Equity ETF
DXYZ,Destiny Tech100 Inc. Common Stock
DYCQ,DT Cloud Acquisition Corporation - Ordinary shares
DYCQR,DT Cloud Acquisition Corporation - Right
DYCQU,DT Cloud Acquisition Corporation - Unit
DYFI,IDX Dynamic Fixed Income ETF
DYLD,LeaderShares Dynamic Yield ETF
DYLG,Global X Funds Global X Dow 30 Covered Call & Growth ETF
DYNF,iShares U.S. Equity Factor Rotation Active ETF
DYNX,Dynamix Corporation - Class A Ordinary Share
DYNXU,Dynamix Corporation - Unit
DYNXW,Dynamix Corporation - Warrant
DYTA,SGI Dynamic Tactical ETF
E,ENI S.p.A. Common Stock
EA,Electronic Arts Inc. - Common Stock
EAD,Allspring Income Opportunities Fund Common Shares
EAF,GrafTech International Ltd. Common Stock
EAFG,Pacer Funds Trust Pacer Developed Markets Cash Cows Growth Leaders ETF
EAGG,iShares ESG Aware U.S. Aggregate Bond ETF
EAGL,The 2023 ETF Series Trust Eagle Capital Select Equity ETF
EALT,Innovator ETFs Trust Innovator U.S. Equity 5 to 15 Buffer ETF - Quarterly
EAOA,iShares ESG Aware 80/20 Aggressive Allocation ETF
EAOK,iShares ESG Aware 30/70 Conservative Allocation ETF
EAOM,iShares ESG Aware 40/60 Moderate Allocation ETF
EAOR,iShares ESG Aware 60/40 Balanced Allocation ETF
EAPR,Innovator Emerging Markets Power Buffer ETF April
EARN,Ellington Credit Company Common Shares of Beneficial Interest
EASG,Xtrackers MSCI EAFE Selection Equity ETF
EAT,Brinker International Inc
EATZ,AdvisorShares Restaurant ETF
EBAY,eBay Inc. - Common Stock
EBI,Longview Advantage ETF
EBIT,Harbor ETF Trust Harbor AlphaEdge Small Cap Earners ETF
EBIZ,Global X E-commerce ETF
EBND,SPDR Bloomberg Emerging Markets Local Bond ETF
EBON,Ebang International Holdings Inc. - Class A Ordinary Shares
EBR,Centrais Electricas Brasileiras S A American Depositary Shares (Each representing one Common Share)
EBR.B,Centrais Electricas Brasileiras S.A. Sponsored ADS representing Pfd Shares
EBS,Emergent BioSolutions Inc. Common Stock
EBUF,SHL Telemedicine Ltd Innovator Emerging Markets 10 Buffer ETF - Quarterly
EC,Ecopetrol S.A. American Depositary Shares
ECAT,BlackRock ESG Capital Allocation Term Trust Common Shares of Beneficial Interest
ECC,Eagle Point Credit Company Inc. Common Stock
ECC$D,Eagle Point Credit Company Inc. 6.75% Series D Preferred Stock
ECCC,Eagle Point Credit Company Inc. 6.50% Series C Term Preferred Stock due 2031
ECCF,Eagle Point Credit Company Inc. 8.00% Series F Term Preferred Stock due 2029
ECCU,Eagle Point Credit Company Inc. 7.75% Notes due 2030
ECCV,Eagle Point Credit Company Inc. 5.375% Notes due 2029
ECCW,Eagle Point Credit Company Inc. 6.75% Notes due 2031
ECCX,Eagle Point Credit Company Inc. 6.6875% Notes due 2028
ECF,Ellsworth Growth and Income Fund Ltd.
ECF$A,Ellsworth Growth and Income Fund Ltd. 5.25% Series A Cumulative Preferred Shares (Liquidation Preference $25.00 per share)
ECH,iShares Inc. iShares MSCI Chile ETF
ECL,Ecolab Inc. Common Stock
ECLN,First Trust EIP Carbon Impact ETF
ECML,EA Series Trust Euclidean Fundamental Value ETF
ECNS,iShares MSCI China Small-Cap ETF
ECO,Okeanis Eco Tankers Corp. Common Stock
ECON,Columbia Research Enhanced Emerging Economies ETF
ECOW,Pacer Emerging Markets Cash Cows 100 ETF
ECPG,Encore Capital Group Inc - Common Stock
ECVT,Ecovyst Inc. Common Stock
ECX,ECARX Holdings Inc. - Class A Ordinary shares
ECXWW,ECARX Holdings Inc. - Warrants
EDBL,Edible Garden AG Incorporated - Common Stock
EDBLW,Edible Garden AG Incorporated - Warrant
EDC,Direxion Emerging Markets Bull 3X Shares
EDEN,iShares Inc iShares MSCI Denmark ETF
EDF,Virtus Stone Harbor Emerging Markets Income Fund Common Shares of Beneficial Interest
EDGE,EA Series Trust MRBL Enhanced Equity ETF
EDGF,The Advisors Inner Circle Fund II 3EDGE Dynamic Fixed Income ETF
EDGH,The Advisors Inner Circle Fund II 3EDGE Dynamic Hard Assets ETF
EDGI,The Advisors Inner Circle Fund II 3EDGE Dynamic International Equity ETF
EDGU,The Advisors Inner Circle Fund II 3EDGE Dynamic US Equity ETF
EDHL,Everbright Digital Holding Limited - Ordinary Shares
EDIV,SPDR S&P Emerging Markets Dividend ETF
EDN,Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor) American Depositary Shares
EDOG,ALPS Emerging Sector Dividend Dogs ETF
EDOW,First Trust Dow 30 Equal Weight ETF
EDRY,EuroDry Ltd. - Common Shares
EDTK,Skillful Craftsman Education Technology Limited - Ordinary Share
EDUC,Educational Development Corporation - Common Stock
EDV,Vanguard Extended Duration Treasury ETF
EDZ,Direxion Emerging Markets Bear 3X Shares
EEENF,88 Energy Ltd
EEIQ,EpicQuest Education Group International Limited - Common Stock
EELV,Invesco S&P Emerging Markets Low Volatility ETF
EEM,iShares MSCI Emerging Index Fund
EEMA,iShares MSCI Emerging Markets Asia ETF
EEMO,Invesco S&P Emerging Markets Momentum ETF
EEMS,iShares MSCI Emerging Markets Small Cap ETF
EEMV,iShares MSCI Emerging Markets Min Vol Factor ETF
EEMX,SPDR MSCI Emerging Markets Fuel Reserves Free ETF
EES,WisdomTree U.S. SmallCap Fund
EET,ProShares Ultra MSCI Emerging Markets
EETH,ProShares Ether ETF
EEV,ProShares UltraShort MSCI Emerging Markets
EFA,iShares MSCI EAFE ETF
EFAA,Invesco Actively Managed Exchange-Traded Fund Trus Invesco MSCI EAFE Income Advantage ETF
EFAD,ProShares Trust ProShares MSCI EAFE Dividend Growers ETF
EFAS,Global X MSCI SuperDividend EAFE ETF
EFAV,iShares MSCI EAFE Min Vol Factor ETF
EFAX,SPDR MSCI EAFE Fossil Fuel Reserves Free ETF
EFC,Ellington Financial Inc. Common Stock
EFC$A,Ellington Financial Inc. 6.750% Series A Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock
EFC$B,Ellington Financial Inc. 6.250% Series B Fixed-Rate Reset Cumulative Redeemable Preferred Stock
EFC$C,Ellington Financial Inc. 8.625% Series C Fixed-Rate Reset Cumulative Redeemable Preferred Stock
EFC$D,Ellington Financial Inc. 7.00% Series D Cumulative Perpetual Redeemable Preferred Stock
EFFE,Harbor ETF Trust Harbor Osmosis Emerging Markets Resource Efficient ETF
EFFI,Harbor ETF Trust Harbor Osmosis International Resource Efficient ETF
EFG,iShares MSCI EAFE Growth ETF
EFIV,SPDR S&P 500 ESG ETF
EFNL,iShares Inc iShares MSCI Finland ETF
EFO,ProShares Ultra MSCI EAFE
EFR,Eaton Vance Senior Floating-Rate Fund Common Shares of Beneficial Interest
EFRA,iShares Environmental Infrastructure and Industrials ETF
EFSC,Enterprise Financial Services Corporation - Common Stock
EFSI,Eagle Financial Services Inc - Common Stock
EFT,Eaton Vance Floating Rate Income Trust Common Shares of Beneficial Interest
EFU,ProShares UltraShort MSCI EAFE
EFV,iShares MSCI EAFE Value ETF
EFXT,Enerflex Ltd Common Shares
EFZ,ProShares Short MSCI EAFE
EGAN,eGain Corporation - Common Stock
EGG,Enigmatig Limited Class A Ordinary Shares
EGGQ,NestYield Visionary ETF
EGGS,Tidal Trust III NestYield Total Return Guard ETF
EGGY,NestYield Dynamic Income ETF
EGHA,EGH Acquisition Corp. - Class A ordinary shares
EGHAR,EGH Acquisition Corp. - rights
EGHAU,EGH Acquisition Corp. - Unit
EGHT,8x8 Inc - Common stock
EGLE,Global X Funds Global X S&P 500 U.S. Revenue Leaders ETF
EGO,Eldorado Gold Corporation Ordinary Shares
EGUS,iShares Trust iShares ESG Aware MSCI USA Growth ETF
EH,EHang Holdings Limited - ADS
EHC,Encompass Health Corporation Common Stock
EHGO,Eshallgo Inc. - Class A Ordinary Shares
EHI,Western Asset Global High Income Fund Inc Common Stock
EHLD,Euroholdings Ltd. - Common Stock
EHLS,Even Herd Long Short ETF
EIC,Eagle Point Income Company Inc. Common Stock
